City_ID,City,Cloudiness,Country,Current Description,Humidity,Lat,Lng,Max Temp,Rain (inches),Snow (inches),Wind Speed
134,Aliartos,6,GR,clear sky,61,38.37,23.1,79.0,0.0,0,7.38
135,Clyde River,90,CA,overcast clouds,89,70.47,-68.59,33.8,0.0,0,9.17
136,Naze,100,JP,overcast clouds,100,28.37,129.48,78.8,0.0,0,12.75
137,Luena,0,AO,clear sky,56,-11.78,19.92,55.54,0.0,0,5.3
138,Whitehorse,75,CA,broken clouds,51,60.72,-135.05,59.0,0.0,0,11.41
139,Komsomolskiy,23,UZ,few clouds,40,40.43,71.72,71.6,0.0,0,6.93
140,Novi Pazar,88,RS,light rain,79,43.14,20.51,60.28,0.68,0,2.48
141,Pilar,75,BR,broken clouds,69,-9.6,-35.96,80.6,0.0,0,18.34
142,Mayo,1,US,clear sky,73,38.89,-76.51,81.0,0.0,0,9.17
143,Ilulissat,90,GL,fog,63,69.22,-51.1,33.8,0.0,0,6.93
144,Moose Factory,1,CA,clear sky,40,51.26,-80.61,87.8,0.0,0,17.22
145,Souillac,75,MU,broken clouds,68,-20.52,57.52,71.6,0.0,0,10.29
146,Dom Pedrito,0,BR,clear sky,78,-30.98,-54.67,70.61,0.0,0,10.13
147,Puri,75,IN,haze,94,19.8,85.85,82.4,0.0,0,6.93
148,Pandan,0,PH,clear sky,83,14.05,124.17,80.71,0.0,0,7.87
149,San Andres,88,CO,overcast clouds,75,12.58,-81.7,81.99,0.0,0,14.99
150,Chokurdakh,64,RU,broken clouds,43,70.63,147.92,74.07,0.0,0,8.32
151,Aleksandrov Gay,100,RU,overcast clouds,57,50.15,48.57,76.48,0.0,0,7.85
152,Kapaa,90,US,moderate rain,94,22.08,-159.32,75.2,3.05,0,21.92
153,Bathurst,0,AU,clear sky,99,-33.42,149.58,37.99,0.0,0,1.77
154,Hamilton,40,US,scattered clouds,54,39.18,-84.53,82.0,0.0,0,4.7
155,Vanavara,0,RU,clear sky,78,60.34,102.28,49.17,0.0,0,3.96
156,Broken Hill,0,AU,clear sky,65,-31.95,141.43,46.4,0.0,0,10.29
157,Morehead,40,US,scattered clouds,39,37.27,-87.18,84.2,0.0,0,4.59
158,Tarragona,3,ES,clear sky,77,41.13,1.25,68.0,0.0,0,4.7
159,Port Alfred,0,ZA,clear sky,77,-33.59,26.89,55.99,0.0,0,5.99
160,Mahebourg,75,MU,broken clouds,68,-20.41,57.7,71.6,0.0,0,10.29
161,Erzincan,75,TR,broken clouds,59,39.75,39.5,64.4,0.0,0,19.46
162,Rock Springs,1,US,clear sky,33,41.59,-109.2,57.2,0.0,0,8.05
163,Ostrovnoy,100,RU,overcast clouds,67,68.05,39.51,57.04,0.0,0,4.83
164,Torbay,90,CA,overcast clouds,60,47.67,-52.73,70.0,0.0,0,11.41
165,Tadine,40,NC,scattered clouds,83,-21.55,167.88,70.83,0.0,0,13.96
166,Wyndham,90,US,overcast clouds,61,37.7,-77.61,81.0,0.0,0,8.05
167,Husavik,61,IS,broken clouds,54,66.04,-17.34,57.2,0.0,0,4.7
168,Dinghai,100,CN,overcast clouds,83,26.28,119.79,82.4,0.0,0,6.71
169,Auki,9,SB,clear sky,85,-8.77,160.7,78.01,0.0,0,2.82
170,Aksum,100,ET,overcast clouds,75,14.12,38.72,63.03,0.0,0,6.53
171,Touros,90,BR,shower rain,94,-5.2,-35.46,75.2,0.0,0,9.17
172,Carmarthen,100,GB,moderate rain,93,51.86,-4.31,59.0,1.7,0,13.87
173,Sao Felix Do Xingu,1,BR,clear sky,51,-6.64,-51.99,86.09,0.0,0,6.67
174,Avera,90,US,overcast clouds,57,33.19,-82.53,81.0,0.0,0,5.19
175,Labuhan,0,ID,light rain,85,-6.88,112.21,78.19,0.71,0,5.93
176,Santa Maria Del Oro,40,MX,scattered clouds,21,25.93,-105.37,86.36,0.0,0,4.18
177,Saint Anthony,1,US,clear sky,57,45.02,-93.22,82.0,0.0,0,14.99
178,Muyezerskiy,100,RU,moderate rain,91,63.93,31.65,64.02,2.29,0,8.7
179,Sao Filipe,0,CV,clear sky,58,14.9,-24.5,82.35,0.0,0,9.69
180,Muros,40,ES,scattered clouds,67,42.78,-9.06,64.0,0.0,0,10.29
181,Champerico,40,GT,scattered clouds,70,14.3,-91.92,87.8,0.0,0,9.17
182,Coihaique,40,CL,scattered clouds,57,-45.58,-72.07,51.8,0.0,0,5.82
183,Kahului,20,US,few clouds,54,20.89,-156.47,84.2,0.0,0,24.16
184,Marawi,89,PH,overcast clouds,96,8.0,124.29,73.99,0.0,0,5.01
185,Kavieng,59,PG,light rain,75,-2.57,150.8,82.17,0.88,0,4.88
186,Inuvik,75,CA,shower rain,58,68.35,-133.72,59.0,0.0,0,6.93
187,Igarka,100,RU,overcast clouds,54,67.47,86.58,46.18,0.0,0,11.97
188,Oranjemund,0,NA,clear sky,26,-28.55,16.43,68.2,0.0,0,5.03
189,Saint-Philippe,75,RE,broken clouds,64,-21.36,55.77,69.8,0.0,0,11.41
190,Padang,100,ID,light rain,76,-0.95,100.35,78.64,0.32,0,4.05
191,Dickinson,20,US,few clouds,38,29.46,-95.05,91.99,0.0,0,6.93
192,Victoria,100,HK,light rain,79,22.29,114.16,84.0,0.35,0,4.0
193,Orbetello,49,IT,scattered clouds,73,42.44,11.22,69.8,0.0,0,8.05
