City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
213,Shimanovsk,RU,50.7,52.0,127.7,Гостиница Домашняя
220,San Cristobal,VE,89.6,7.77,-72.22,Pirineos
221,Comodoro Rivadavia,AR,59.0,-45.87,-67.5,Austral Hotel
222,Sao Jose Da Coroa Grande,BR,79.63,-8.9,-35.15,Crôa Mares Hotel
223,Saldanha,ZA,62.6,-33.01,17.94,Blue Bay Lodge
224,Weligama,LK,80.33,5.97,80.42,Weligama Bay Resort
225,Aklavik,CA,59.0,68.22,-135.01,Aklavik Inn
226,Romitan,UZ,73.4,39.93,64.38,Hotel Temur
229,Vila Do Maio,CV,84.2,15.13,-23.22,Residence 'I Delfini'
230,Guarda,PT,64.0,40.54,-7.27,Hotel Lusitânia
232,Gladstone,AU,64.4,-23.85,151.25,Metro Hotel and Apartments Gladstone
233,Caracollo,PE,60.57,-14.92,-70.66,
234,North Platte,US,73.4,41.12,-100.77,Holiday Inn Express & Suites North Platte
235,Mount Gambier,AU,51.8,-37.83,140.77,Southgate Motel
237,Pisco,PE,68.0,-13.7,-76.22,Hostal San Isidro Oficial
238,Bengkulu,ID,76.28,-3.8,102.27,Grage Hotel Bengkulu
239,Brigham City,US,63.0,41.51,-112.02,Best Western Brigham City Inn & Suites
241,Saint-Georges,GD,84.2,12.06,-61.75,Radisson Grenada Beach Resort
245,Fomboni,KM,77.22,-12.28,43.74,Auberge les abou
246,Brainerd,US,78.8,46.36,-94.2,Holiday Inn Express & Suites Brainerd-Baxter
247,Burnie,AU,50.0,-41.07,145.92,Beachfront Voyager Motor Inn
248,Coquimbo,CL,60.8,-29.95,-71.34,Hotel San Juan
249,Fairhope,US,84.99,30.52,-87.9,Hampton Inn Fairhope-Mobile Bay
250,Samandag,TR,75.2,36.08,35.98,Anadolu Palace Hotel
251,Sheridan,US,66.2,44.83,-106.92,Best Western Sheridan Center
252,Dakar,SN,84.2,14.69,-17.44,Novotel Dakar
254,Haines Junction,CA,61.79,60.75,-137.51,Parkside Inn
257,Mantena,BR,74.53,-18.78,-40.98,Hotel Estrela De Minas
258,Salinas,US,84.99,36.68,-121.66,Good Nite Inn Salinas Monterey
261,Iisalmi,FI,68.0,63.56,27.19,Original Sokos Hotel Koljonvirta
262,Ucluelet,CA,62.6,48.93,-125.55,Black Rock Oceanfront Resort
